Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Motorboat Operators,2,Operate small motor-driven boats. May assist in navigational activities.,Transportation and Material Moving Occupations,53-5022.00,Motorbootbetreiber,Betätigen Sie kleine motorgetriebene Boote. Kann bei Navigationsaktivitäten helfen.,Transport- und materielle berufliche Berufe
Ship Engineers,3,"Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship.",Transportation and Material Moving Occupations,53-5031.00,Schiffsingenieure,"Überwachen und Koordinaten der Aktivitäten der Besatzung, die Motoren, Kessel, Deckmaschinen sowie elektrische, sanitäre und Kühlgeräte an Bord des Schiffes betreiben und pflegen.",Transport- und materielle berufliche Berufe
Bridge and Lock Tenders,2,"Operate and tend bridges, canal locks, and lighthouses to permit marine passage on inland waterways, near shores, and at danger points in waterway passages. May supervise such operations. Includes drawbridge operators, lock operators, and slip bridge operators.",Transportation and Material Moving Occupations,53-6011.00,Brücken- und Schlossschreiber,"Betätigen und neigen Sie zu Brücken, Kanalschlössern und Leuchttürmen, um den Meeresübergang auf Binnenwasserstraßen, in der Nähe von Ufern und an Gefahrenpunkten in Wasserstraßenpassagen zu ermöglichen. Kann solche Operationen überwachen. Beinhaltet Zugbrückenbetreiber, Sperrbetreiber und Slip Bridge -Betreiber.",Transport- und materielle berufliche Berufe
Parking Attendants,2,Park vehicles or issue tickets for customers in a parking lot or garage. May park or tend vehicles in environments such as a car dealership or rental car facility. May collect fee.,Transportation and Material Moving Occupations,53-6021.00,Parkbearbeiter,Parkfahrzeuge oder Tickets für Kunden auf einem Parkplatz oder einer Garage ausstellen. Kann Fahrzeuge in Umgebungen wie einem Autohaus oder einer Mietwageneinrichtung parken oder neigen. Kann Gebühr erheben.,Transport- und materielle berufliche Berufe
Automotive and Watercraft Service Attendants,2,"Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires.",Transportation and Material Moving Occupations,53-6031.00,Begleiter des Automobil- und Wasserfahrzeugdienstes,"Service Automobile, Busse, Lastwagen, Boote und andere Automobil- oder Meeresfahrzeuge mit Kraftstoff, Schmiermittel und Zubehör. Sammlung Zahlungen für Dienstleistungen und Vorräte. Kann das Fahrzeug schmieren, das Motoröl ändern, Frostschutzmittel nachfüllen oder Lichter oder andere Zubehör wie Windschutzscheibenscheibenblätter oder Lüftergürtel ersetzen. Kann Reifen reparieren oder ersetzen.",Transport- und materielle berufliche Berufe
Aircraft Service Attendants,2,"Service aircraft with fuel. May de-ice aircraft, refill water and cooling agents, empty sewage tanks, service air and oxygen systems, or clean and polish exterior.",Transportation and Material Moving Occupations,53-6032.00,Flugzeugservice -Begleiter,"Serviceflugzeuge mit Kraftstoff. Können Flugzeuge, Wasser- und Kühlmittel, leere Abwassertanks, Serviceluft- und Sauerstoffsysteme oder sauberes und polnisches Äußeres entschädigen.",Transport- und materielle berufliche Berufe
Traffic Technicians,3,"Conduct field studies to determine traffic volume, speed, effectiveness of signals, adequacy of lighting, and other factors influencing traffic conditions, under direction of traffic engineer.",Transportation and Material Moving Occupations,53-6041.00,Verkehrstechniker,"Führen Sie Feldstudien durch, um das Verkehrsvolumen, die Geschwindigkeit, die Wirksamkeit von Signalen, die Angemessenheit der Beleuchtung und andere Faktoren zu bestimmen, die die Verkehrsbedingungen unter der Richtung des Verkehrsingenieurs beeinflussen.",Transport- und materielle berufliche Berufe
Transportation Inspectors,4,"Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transportation inspectors, such as freight inspectors, rail inspectors, and other inspectors of transportation vehicles not elsewhere classified.",Transportation and Material Moving Occupations,53-6051.00,Transportinspektoren,"Überprüfen Sie die Ausrüstung oder Waren im Zusammenhang mit dem sicheren Transport von Fracht oder Personen. Beinhaltet Schienenverkehrsinspektoren wie Güterinspektoren, Schieneninspektoren und andere Inspektoren von Transportfahrzeugen, die nicht an anderer Stelle klassifiziert sind.",Transport- und materielle berufliche Berufe
Aviation Inspectors,3,"Inspect aircraft, maintenance procedures, air navigational aids, air traffic controls, and communications equipment to ensure conformance with Federal safety regulations.",Transportation and Material Moving Occupations,53-6051.01,Luftfahrtinspektoren,"Überprüfen Sie Flugzeuge, Wartungsverfahren, Luftnavigationshilfen, Flugverkehrskontrollen und Kommunikationsgeräte, um die Konformität mit den Sicherheitsvorschriften des Bundes sicherzustellen.",Transport- und materielle berufliche Berufe
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,"Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.",Transportation and Material Moving Occupations,53-6051.07,"Transportfahrzeug-, Ausrüstungs- und Systeminspektoren außer Luftfahrt","Überprüfen und überwachen Sie Transportgeräte, Fahrzeuge oder Systeme, um die Einhaltung der Vorschriften und Sicherheitsstandards sicherzustellen.",Transport- und materielle berufliche Berufe
Passenger Attendants,2,"Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel.",Transportation and Material Moving Occupations,53-6061.00,Passagierbegleiter,"Bereitstellung von Dienstleistungen, um die Sicherheit der Passagiere an Bord von Schiffen, Bussen, Zügen oder innerhalb des Bahnhofs oder Terminals zu gewährleisten. Führen Sie Aufgaben wie die Erklärung der Verwendung von Sicherheitsausrüstung, das Servieren von Mahlzeiten oder Getränken oder die Beantwortung von Fragen im Zusammenhang mit Reisen aus.",Transport- und materielle berufliche Berufe
Conveyor Operators and Tenders,1,"Control or tend conveyors or conveyor systems that move materials or products to and from stockpiles, processing stations, departments, or vehicles. May control speed and routing of materials or products.",Transportation and Material Moving Occupations,53-7011.00,Förderer und Ausschreibungen,"Kontrolle oder tendieren Sie Förderer oder Fördersysteme, die Materialien oder Produkte zu und von Lagerbeständen, Verarbeitungsstationen, Abteilungen oder Fahrzeugen bewegen. Kann die Geschwindigkeit und das Routing von Materialien oder Produkten steuern.",Transport- und materielle berufliche Berufe
Crane and Tower Operators,3,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions.",Transportation and Material Moving Occupations,53-7021.00,Kran- und Turmbetreiber,"Betreiben Sie den mechanischen Ausleger und Kabel- oder Turm- und Kabelausrüstung, um Materialien, Maschinen oder Produkte in viele Richtungen zu heben und zu bewegen.",Transport- und materielle berufliche Berufe
Dredge Operators,2,"Operate dredge to remove sand, gravel, or other materials in order to excavate and maintain navigable channels in waterways.",Transportation and Material Moving Occupations,53-7031.00,Baggerbetreiber,"Betätigen Sie Bagger, um Sand, Kies oder andere Materialien zu entfernen, um schiffbare Kanäle in den Wasserstraßen zu ausgegraben und aufrechtzuerhalten.",Transport- und materielle berufliche Berufe
Hoist and Winch Operators,2,Operate or tend hoists or winches to lift and pull loads using power-operated cable equipment.,Transportation and Material Moving Occupations,53-7041.00,Hebezeug- und Windenbetreiber,Betreiben oder tendieren Sie Hebezeuge oder Winden zum Anheben und Ziehen von Lasten mit leistungsfähiger Kabelgeräten.,Transport- und materielle berufliche Berufe
Industrial Truck and Tractor Operators,2,"Operate industrial trucks or tractors equipped to move materials around a warehouse, storage yard, factory, construction site, or similar location.",Transportation and Material Moving Occupations,53-7051.00,Industriewagen und Traktorbetreiber,"Betreiben Sie Industriewagen oder Traktoren, die für die Bewegung von Materialien um einen Lagerhaus, einen Lagerhof, eine Fabrik, die Baustelle oder einen ähnlichen Standort ausgerüstet sind.",Transport- und materielle berufliche Berufe
Cleaners of Vehicles and Equipment,2,"Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses.",Transportation and Material Moving Occupations,53-7061.00,Reiniger von Fahrzeugen und Ausrüstung,"Fahrzeuge, Maschinen und andere Geräte waschen oder auf andere Weise reinigen. Verwenden Sie Materialien wie Wasser, Reinigungsmittel, Bürsten, Tücher und Schläuche.",Transport- und materielle berufliche Berufe
"Laborers and Freight, Stock, and Material Movers, Hand",2,"Manually move freight, stock, luggage, or other materials, or perform other general labor. Includes all manual laborers not elsewhere classified.",Transportation and Material Moving Occupations,53-7062.00,"Arbeiter und Fracht, Lagerbestände und materielle Umzugsunternehmen, Hand","Bewegen Sie manuell Fracht, Lager, Gepäck oder andere Materialien oder führen Sie andere allgemeine Arbeitskräfte durch. Enthält alle Handelarbeiter, die nicht an anderer Stelle klassifiziert sind.",Transport- und materielle berufliche Berufe
Recycling and Reclamation Workers,2,Prepare and sort materials or products for recycling. Identify and remove hazardous substances. Dismantle components of products such as appliances.,Transportation and Material Moving Occupations,53-7062.04,Recycling- und Rückgewinnungsarbeiter,Bereiten und sortieren Sie Materialien oder Produkte zum Recycling. Identifizieren und entfernen Sie gefährliche Substanzen. Abbaukomponenten von Produkten wie Geräten.,Transport- und materielle berufliche Berufe
Machine Feeders and Offbearers,2,Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.,Transportation and Material Moving Occupations,53-7063.00,Maschinenfutter- und Offträrer,"Führen Sie Materialien in Maschinen oder Geräte, die von anderen Arbeitnehmern automatisch oder gepasst werden.",Transport- und materielle berufliche Berufe
"Packers and Packagers, Hand",2,Pack or package by hand a wide variety of products and materials.,Transportation and Material Moving Occupations,53-7064.00,"Packer und Verpacker, Hand",Packen oder Verpacken von Hand einer Vielzahl von Produkten und Materialien.,Transport- und materielle berufliche Berufe
Stockers and Order Fillers,2,"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.",Transportation and Material Moving Occupations,53-7065.00,Stockern und Bestellfüller,"Erhalten Sie Waren, Materialien, Geräte und andere Artikel aus Lagerraum, Lager oder Lagerhof, um Regale, Gestelle, Tische oder Kundenbestellungen zu füllen. Kann Stromausrüstung betreiben, um Bestellungen zu füllen. Kann die Preise für Waren markieren und Verkaufsdisplays einrichten.",Transport- und materielle berufliche Berufe
Gas Compressor and Gas Pumping Station Operators,2,"Operate steam-, gas-, electric motor-, or internal combustion-engine driven compressors. Transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas.",Transportation and Material Moving Occupations,53-7071.00,Gaskompressor und Gaspumpenstationbetreiber,"Betreiben Sie Dampf-, Gas-, Elektromotor- oder Innenmotorkompressoren. Gase wie Butan, Stickstoff, Wasserstoff und Erdgas übertragen, komprimieren oder wiederherstellen.",Transport- und materielle berufliche Berufe
